episode,train_step,avg_loss,avg_td_error,avg_q_value,avg_batch_reward,batch_size,epsilon
14,252,2340.545898,44.612675,-141.3665,0.545728,32,0.981250
14,253,2253.748291,43.908825,-142.3615,0.545728,32,0.981250
14,254,2168.415039,43.196407,-143.3620,0.545728,32,0.981250
14,255,2085.720215,42.490158,-144.3620,0.545728,32,0.981250
14,256,2004.593872,41.775017,-145.3673,0.545728,32,0.981250
14,257,1926.083374,41.066174,-146.3724,0.545728,32,0.981250
14,258,1849.232910,40.348957,-147.3825,0.545728,32,0.981250
14,259,1774.980713,39.636974,-148.3926,0.545728,32,0.981250
14,260,1702.480957,38.916267,-149.4074,0.545728,32,0.981250
14,261,1632.569214,38.200497,-150.4222,0.545728,32,0.981250
14,262,1564.503784,37.476807,-151.4413,0.545728,32,0.981250
14,263,1499.023315,36.758186,-152.4606,0.545728,32,0.981250
14,264,1435.436279,36.030827,-153.4844,0.545728,32,0.981250
14,265,1374.454712,35.308540,-154.5078,0.545728,32,0.981250
14,266,1315.451172,34.577778,-155.5355,0.545728,32,0.981250
14,267,1259.057129,33.852573,-156.5640,0.545728,32,0.981250
14,268,1204.689941,33.119087,-157.5974,0.545728,32,0.981250
14,269,1152.935059,32.390026,-158.6309,0.545728,32,0.981250
14,270,1103.300903,31.652719,-159.6673,0.545728,32,0.981250
15,271,1060.004517,30.994938,-160.5468,0.551919,32,0.979375
15,272,3975.753418,56.477455,-161.5865,0.551919,32,0.979375
15,273,3849.142334,55.718494,-162.6526,0.551919,32,0.979375
15,274,3724.192383,54.954243,-163.7234,0.551919,32,0.979375
15,275,3602.111816,54.193413,-164.7934,0.551919,32,0.979375
15,276,3481.586182,53.426765,-165.8685,0.551919,32,0.979375
15,277,3364.036621,52.663883,-166.9430,0.551919,32,0.979375
15,278,3248.061035,51.895485,-168.0242,0.551919,32,0.979375
15,279,3135.080566,51.132793,-169.1051,0.551919,32,0.979375
15,280,3023.739746,50.363594,-170.1928,0.551919,32,0.979375
