# Reward Formula: R_total = R_global / reward_scale
# R_global = w1*CompletedNorm - w2*AvgWaitNorm - w3*WIPNorm + w4*ThroughputDelta + w5*LoadBalance
# Coefficients: w1=1.0, w2=0.0, w3=0.0, w4=0.0, w5=0.0
# reward_scale=2.0
# LoadBalance: lambda_m=0.8, lambda_o=0.2
# CompletedNorm: fraction of jobs completed [0,1]
# AvgWaitNorm: normalized average wait time [0,1]
# WIPNorm: work-in-progress ratio [0,1]
# ThroughputDelta: change in completed jobs (normalized) - immediate feedback!
# LoadBalance: entropy-based load distribution [0,1] - higher is better
#
step,sim_time,CompletedNorm,AvgWaitNorm,WIPNorm,ThroughputDelta,LoadBalance,R_global,R_total
263,68.00,0.676471,0.104373,0.294118,0.029412,0.957009,0.676471,0.338235
264,69.00,0.638889,0.099202,0.277778,0.000000,0.959112,0.638889,0.319444
265,70.00,0.631579,0.095829,0.263158,0.026316,0.953837,0.631579,0.315789
266,71.00,0.615385,0.094188,0.256410,0.000000,0.905105,0.615385,0.307692
267,72.00,0.641026,0.096566,0.256410,0.025641,0.916303,0.641026,0.320513
268,73.00,0.650000,0.094921,0.250000,0.025000,0.900735,0.650000,0.325000
269,74.00,0.675000,0.097382,0.250000,0.025000,0.908179,0.675000,0.337500
270,75.00,0.675000,0.099305,0.250000,0.000000,0.913805,0.675000,0.337500
271,76.00,0.675000,0.099617,0.250000,0.000000,0.922525,0.675000,0.337500
272,77.00,0.658537,0.098151,0.243902,0.000000,0.918935,0.658537,0.329268
273,78.00,0.682927,0.106913,0.243902,0.024390,0.896091,0.682927,0.341463
274,79.00,0.682927,0.107235,0.243902,0.000000,0.897579,0.682927,0.341463
275,80.00,0.690476,0.105439,0.238095,0.023810,0.900389,0.690476,0.345238
276,81.00,0.690476,0.108140,0.238095,0.000000,0.898533,0.690476,0.345238
277,82.00,0.714286,0.113300,0.238095,0.023810,0.895862,0.714286,0.357143
278,83.00,0.714286,0.113877,0.238095,0.000000,0.886180,0.714286,0.357143
279,84.00,0.738095,0.115002,0.238095,0.023810,0.890962,0.738095,0.369048
280,85.00,0.738095,0.119284,0.238095,0.000000,0.898947,0.738095,0.369048
281,86.00,0.744186,0.121027,0.232558,0.023256,0.895361,0.744186,0.372093
282,87.00,0.727273,0.120178,0.227273,0.000000,0.903484,0.727273,0.363636
283,88.00,0.711111,0.118325,0.222222,0.000000,0.915760,0.711111,0.355556
284,89.00,0.711111,0.118325,0.222222,0.000000,0.886947,0.711111,0.355556
285,90.00,0.711111,0.122037,0.222222,0.000000,0.881944,0.711111,0.355556
286,91.00,0.711111,0.122037,0.222222,0.000000,0.892058,0.711111,0.355556
287,92.00,0.711111,0.122576,0.222222,0.000000,0.928373,0.711111,0.355556
288,93.00,0.733333,0.123243,0.222222,0.022222,0.915005,0.733333,0.366667
289,94.00,0.733333,0.127185,0.222222,0.000000,0.923762,0.733333,0.366667
290,95.00,0.733333,0.128385,0.222222,0.000000,0.908914,0.733333,0.366667
291,96.00,0.733333,0.128574,0.222222,0.000000,0.911160,0.733333,0.366667
292,97.00,0.755556,0.131528,0.222222,0.022222,0.921024,0.755556,0.377778
293,98.00,0.739130,0.131064,0.217391,0.000000,0.919778,0.739130,0.369565
